date,AI,DBSI,NDVI,NDWI,NDBI,NDSI,SAVI ,TGSI,SPI,Tmean
01/02/1997,0.010369946,0.065447619,0.020260952,-0.267363492,-0.003479365,-0.202609524,0.014110794,0.15884127,-0.650865783,16.68333333
01/03/1997,0.045099373,-0.031806061,0.154385859,-0.122020202,-0.08050505,-0.154385859,0.011436263,0.058652525,-0.582892735,20.98333333
01/04/1997,0.046245559,0.019334524,0.093905952,-0.112652381,-0.051769048,-0.193905952,0.059820238,0.084882143,-0.498865049,27.05
01/05/1997,0.218977507,-0.014604167,0.117486111,0.263027778,0.068583333,-0.117486111,0.108631944,0.171055556,0.813986521,30.05
01/06/1997,0.194496668,0.107792857,0.125969841,-0.233138889,0.034988889,-0.125969841,0.109458651,0.146586508,1.164736954,33.18333333
01/07/1997,0.172638674,0.025212843,0.144627705,-0.169570707,-0.027677489,-0.144627705,0.113350649,0.113604618,0.654629086,33.59171569
01/08/1997,0.016996698,-0.007509848,0.020964773,-0.201162879,-0.058815152,-0.209647727,0.015560833,0.122178788,-0.258600188,32.36449755
01/09/1997,0.111106197,-0.010352273,0.187827273,-0.253984091,-0.072428788,-0.264872727,0.13690303,0.157731061,-0.577410211,30.78362745
01/10/1997,0.660282272,-0.013177778,0.216061111,-0.201777778,-0.069588889,-0.416061111,0.145722222,0.114288889,0.719374786,25.54522059
01/11/1997,0.066862264,0.036173148,0.199632407,-0.235082407,-0.013527778,-0.199632407,0.013214907,0.127777778,-0.309969541,20.08383228
01/12/1997,0.032241015,0.024916667,0.09825,-0.122291667,-0.004083333,-0.19825,0.069833333,0.058041667,2.013344356,13.65
01/01/1998,0.025882351,0.062077778,0.136662626,-0.198257576,0.020334344,-0.136662626,0.09269697,0.108406061,0.041393134,13.35
01/02/1998,0.141935036,0.036795238,0.186919048,-0.22242381,-0.014584127,-0.186919048,0.125479365,0.107607937,0.006099859,16.51666667
01/03/1998,0.048960844,-0.02375,0.194787037,-0.170138889,-0.065740741,-0.194787037,0.01355,0.09212037,-0.234956261,20.66666667
01/04/1998,0.07875031,0.100119048,0.013403929,-0.233464286,0.024082143,-0.134039286,0.089084524,0.148491667,-0.11636048,29.15
01/05/1998,0.035336824,0.115475469,0.011049206,-0.225282828,0.038847042,-0.110492063,0.079589466,0.167029582,-0.03943227,33.11666667
01/06/1998,0.109590838,0.125856818,0.097798485,-0.223262121,0.056077273,-0.097798485,0.107384545,0.162294697,-0.092993968,34.85
01/07/1998,0.160498593,0.025430556,0.132847222,-0.157736111,-0.024444444,-0.132847222,0.10075,0.106444444,-0.29765445,34.26666667
01/08/1998,0.068676916,0.017630291,0.019725661,-0.214234788,-0.038101852,-0.197256614,0.014728439,0.143925926,-0.499678413,33.71666667
01/09/1998,0.293536014,-0.002227273,0.255328283,-0.256853535,-0.056510101,-0.255328283,0.186984848,0.151888889,-0.043399198,30.48333333
01/10/1998,0.052386376,0.034133333,0.229033333,-0.262566667,-0.022991667,-0.229033333,0.015966667,0.148133333,-0.298717718,27.5
01/11/1998,0.01,0.108884722,0.014697778,-0.292111111,0.029555556,-0.204152778,0.098788889,0.149680555,-0.732660229,21.03333333
01/12/1998,0.01,0.101942308,0.105803663,-0.244908425,0.046076923,-0.143465202,0.095020147,0.144119506,-0.340632637,14.9
01/01/1999,0.289605446,-0.0821875,0.161583333,0.104155833,-0.107729167,-0.061583333,0.103983333,0.044391667,0.424600707,12.66666667
01/02/1999,0.169028721,0.019125,0.225416667,-0.2441875,-0.030770833,-0.225416667,0.153145833,0.133875,0.602604904,17.2
01/03/1999,0.017898274,-0.029816667,0.14875,-0.218116667,-0.078466667,-0.24875,0.016931667,0.0997,-0.281836082,22.35
01/04/1999,0.01,0.145458333,0.147458333,-0.2921875,0.068395833,-0.147458333,0.010335417,0.17775,-0.445289166,29.53333333
01/05/1999,0.03406104,0.144213675,0.096426282,-0.23996688,0.069176282,-0.096426282,0.072523504,0.158674145,-0.768108535,33.98333333
01/06/1999,0.098780633,0.073004329,0.077528139,-0.150350649,0.011270563,-0.077528139,0.057800866,0.113676407,-0.316261636,34.9
01/07/1999,0.145718682,0.063736111,0.140491667,-0.203583333,0.003683333,-0.140491667,0.105944444,0.145580556,-0.262487397,33.98333333
01/08/1999,0.193557053,-0.003655983,0.228646367,-0.224739316,-0.058626068,-0.228646367,0.173739316,0.149215812,-0.110606264,31.9
01/09/1999,0.005736129,0.05272619,0.14964881,-0.259196429,-0.016642857,-0.20702381,0.0110575,0.173964286,-0.394153319,31.46666667
01/10/1999,0.02,0.108863095,0.146589683,-0.288081349,0.01893254,-0.200396825,0.010148849,0.165335318,-0.416326804,27.6
01/11/1999,0.01,0.140708333,0.111973611,-0.290958333,0.068111111,-0.151236111,0.010452778,0.167208333,-0.978385184,21.56666667
01/12/1999,0.01,0.110886905,0.134672619,-0.244988095,0.051886905,-0.134672619,0.09125,0.143315476,-0.874613823,16.03333333
01/01/2000,0.15469994,0.06349495,0.212338384,-0.275176768,0.006156566,-0.212338384,0.139151515,0.156984848,0.137271551,13.13333333
01/02/2000,0.173939246,0.0152,0.267477778,-0.282444444,-0.048733333,-0.267477778,0.182544444,0.152988889,0.313584015,15
01/03/2000,0.01,0.102876124,0.1956541,-0.257085979,-0.038249338,-0.228987434,0.011796164,0.159277778,-0.13462243,21.28333333
01/04/2000,0.003046825,0.137644444,0.011428889,-0.266722222,0.058077778,-0.296555556,0.094344444,0.1727,-0.683962332,30.78333333
01/05/2000,0.01,0.151520833,0.085041667,-0.236125,0.0728125,-0.118375,0.0665625,0.166645833,-2.051033687,35.91666667
01/06/2000,0.021358885,0.11912963,0.07512963,-0.194055555,0.051222222,-0.07512963,0.05912963,0.152425926,-1.983828445,35.9
01/07/2000,0.264256921,-0.013944444,0.099969697,0.138853535,-0.015429293,-0.099969697,0.107759596,0.064176768,-0.396728528,33.55
01/08/2000,0.049669797,0.102799603,0.19685119,-0.224319444,-0.030029762,-0.19685119,0.015062302,0.146240079,-0.476112634,32.93333333
01/09/2000,0.003617893,0.150225218,0.01450127,-0.227553571,-0.03659127,-0.205376984,0.011039167,0.151061508,-0.451035263,30.95
01/10/2000,0.01,0.109506349,0.150400794,-0.278027778,0.022892857,-0.183734127,0.012861905,0.173587302,-1.246172022,27.76666667
01/11/2000,0.01,0.109616667,0.116372222,-0.245147222,0.031555556,-0.149705556,0.010160556,0.14745,-1.026908719,21.23333333
01/12/2000,0.008140515,0.104374039,0.010092308,-0.14417094,0.001240385,-0.100923077,0.069891026,0.101252137,-0.546416399,16.13333333
01/01/2001,0.020904133,0.106441111,0.101422222,-0.165155556,0.025911111,-0.101422222,0.073966667,0.102477778,-1.044627744,12.58333333
01/02/2001,0.025944259,0.044802351,0.194975427,-0.239211538,-0.014221154,-0.194975427,0.013577671,0.139573718,-0.987031581,16.51666667
01/03/2001,0.036474925,0.105958889,0.182877778,-0.123111111,-0.110066667,-0.182877778,0.013018889,0.093077778,-1.048749877,22.3
01/04/2001,0.079114783,0.125980159,0.012203571,-0.24797619,0.049777778,-0.122035714,0.089095238,0.170333333,-0.12211931,28.33333333
01/05/2001,0.097787575,0.126027778,0.07549359,-0.20141453,0.050809829,-0.07549359,0.059130342,0.157762821,-0.432540172,35
01/06/2001,0.137045697,0.079503968,0.092948413,-0.172253968,0.018686508,-0.092948413,0.107236905,0.125849206,-0.448578238,34.58333333
01/07/2001,0.401044188,-0.020641667,0.151772222,0.217138611,-0.028436111,-0.151772222,0.116547222,0.091091667,-0.740802984,33.26666667
01/08/2001,0.151508573,-0.000805556,0.254911616,-0.253457071,-0.049209596,-0.254911616,0.192886364,0.145300505,-0.487722843,32.45
01/09/2001,0.00540601,0.101696368,0.019423718,-0.277517094,-0.043517094,-0.260903846,0.014008162,0.158786325,-0.188433959,30.83333333
01/10/2001,0.01,0.105018175,0.135019444,-0.216090873,0.006393254,-0.168352778,0.010210103,0.11755754,-0.304488851,27.58333333
01/11/2001,0.01,0.101783333,0.019636111,-0.297461111,0.032561111,-0.196361111,0.096286111,0.167477778,-0.982160626,21.68333333
01/12/2001,0.012339659,0.075666667,0.130166667,-0.205041667,0.024479167,-0.130166667,0.08975,0.120979167,-0.223865312,16.75
01/01/2002,0.02432645,0.115833333,0.1313,-0.246311111,0.033644444,-0.1313,0.0876,0.157033333,-0.66672085,13.75
01/02/2002,0.009511052,0.073793651,0.218142857,-0.290809524,-0.015380952,-0.218142857,0.01494881,0.169873016,-1.138338119,16.31666667
01/03/2002,0.051194137,0.077996296,0.190685185,-0.268631481,-0.018237037,-0.190685185,0.014164444,0.149112963,-0.896320205,23.03333333
01/04/2002,0.011733102,0.119055556,0.156,-0.274861111,0.027666667,-0.156,0.010730556,0.16775,-0.859926627,30.48333333
01/05/2002,0.047499624,0.17868254,0.083563492,-0.26206746,0.077825397,-0.083563492,0.06518254,0.18172619,-0.473686263,35.78333333
01/06/2002,0.025304987,0.114356422,0.087805916,-0.201950217,0.045234488,-0.087805916,0.069697691,0.153964647,-1.058963804,36.55
01/07/2002,0.01,0.109563704,0.101662963,-0.197138889,0.020814815,-0.101662963,0.080196296,0.143688889,-1.712847975,35.08333333
01/08/2002,0.008755579,0.10625,0.013558333,-0.197666667,-0.028583333,-0.235583333,0.095166667,0.13875,-2.374038937,33.91666667
01/09/2002,0.096595519,0.086027778,0.170472222,-0.256305556,0.002805556,-0.170472222,0.013127778,0.16725,-1.402589994,30.85
01/10/2002,0.00228653,0.107708333,0.171583333,-0.248166667,0.0095,-0.171583333,0.012391667,0.130166667,-0.887204802,26.26666667
01/11/2002,0.040612444,0.104,0.181666667,-0.284,0.021333333,-0.181666667,0.012766667,0.16,-0.168396111,21.7
01/12/2002,0.029790114,0.131416667,0.121333333,-0.252083333,0.056208333,-0.121333333,0.081541667,0.137,-0.326678308,16.68333333
01/01/2003,0.006013662,0.108391667,0.015155556,-0.234638889,0.016472222,-0.151555556,0.010244444,0.12975,-0.188677608,13.18333333
01/02/2003,0.343447634,-0.033288889,0.186288889,0.219022222,-0.034733333,-0.186288889,0.135911111,0.131644444,0.630019375,15.81666667
01/03/2003,0.01239919,0.032088889,0.022599074,-0.257596296,-0.046148148,-0.225990741,0.016677037,0.157038889,-0.122968128,21.63333333
01/04/2003,0.0034965,0.181388889,0.114083333,-0.295361111,0.0775,-0.114083333,0.085027778,0.189083333,0.169681989,29.33333333
01/05/2003,0.012910453,0.145766667,0.079633333,-0.225011111,0.049333333,-0.079633333,0.056733333,0.162122222,-1.131514879,33
01/06/2003,0.100423174,0.163577778,0.096858333,-0.260186111,0.063416667,-0.096858333,0.107088056,0.175602778,-0.341056829,36.41666667
01/07/2003,0.446084129,-0.019,0.1155,0.209533333,-0.077666667,-0.1155,0.20715,0.070666667,0.524724947,33.15
01/08/2003,0.545468923,-0.018787879,0.18299697,-0.201217172,-0.047017172,-0.18299697,0.140279798,0.131212121,0.996089815,32.75
01/09/2003,0.170381732,-0.025716667,0.299655556,-0.273766667,-0.092522222,-0.299655556,0.226494444,0.1473,0.926064535,30.85
01/10/2003,0.01,0.1016,0.163861111,-0.238916667,-0.039761111,-0.224011111,0.016003889,0.117666667,0.789564846,26.73333333
01/11/2003,0.003404022,0.112377778,0.189761111,-0.301055556,0.026238889,-0.189761111,0.012728333,0.164594445,-0.017807674,19.93333333
01/12/2003,0.01,0.107779167,0.142416667,-0.219333333,0.017958333,-0.142416667,0.095333333,0.114625,-0.614080034,16.01666667
01/01/2004,0.389312664,-0.036391414,0.216638889,-0.252121212,-0.027209596,-0.216638889,0.144270202,0.130893939,0.723908229,14
01/02/2004,0.018022576,0.059952381,0.165216931,-0.224306878,-0.012560846,-0.165216931,0.012143386,0.124433863,-0.239022613,17.53333333
01/03/2004,0.01,0.052916667,0.259888889,-0.311666667,-0.034138889,-0.259888889,0.017822222,0.169444444,-0.278352724,25.01666667
01/04/2004,0.018469645,0.106688889,0.112755556,-0.219194444,0.012494444,-0.112755556,0.082388889,0.158861111,-1.563582608,31.51666667
01/05/2004,0.015743987,0.164512821,0.081431624,-0.245619658,0.068192308,-0.081431624,0.062888889,0.168995726,-1.279210482,34.33333333
01/06/2004,0.159159108,0.135240385,0.048846154,-0.183875,0.046705128,-0.048846154,0.103147436,0.142612179,-0.162044373,35.13333333
01/07/2004,0.001573898,0.104336538,0.132511752,-0.236525641,0.020306624,-0.132511752,0.010193697,0.157742521,-0.79456922,34.76666667
01/08/2004,0.160347094,-0.011593651,0.178687301,-0.166754762,-0.07286746,-0.178687301,0.135327381,0.126283333,-0.456215317,32.88333333
01/09/2004,0.002087088,0.033333333,0.022995833,-0.2629375,-0.042833333,-0.229958333,0.017108333,0.154645833,-1.122690618,31.3
01/10/2004,0.0069379,0.092752564,0.020784615,-0.300076923,0.010587821,-0.207846154,0.014564551,0.165030128,-0.367113753,24.5
01/11/2004,0.01,0.093616667,0.147533333,-0.240416667,0.027233333,-0.147533333,0.099783333,0.12365,-0.884735555,21.8
01/12/2004,0.213803292,0.131444444,0.133661616,0.126442424,0.052611111,-0.133661616,0.109040909,0.154186869,0.478596752,16.98333333
01/01/2005,0.115855092,0.0713125,0.181104167,-0.251583333,-0.002145833,-0.181104167,0.120208333,0.14575,0.53997166,12.51666667
01/02/2005,0.563685421,-0.07922619,0.204380952,-0.283059524,-0.003130952,-0.204380952,0.14497619,0.16147619,1.482103482,14.78333333
01/03/2005,0.197032216,0.002294697,0.239143939,-0.240552273,-0.073574242,-0.239143939,0.166208333,0.147143939,1.21242245,21.93333333
01/04/2005,0.005616187,0.150323232,0.015518434,-0.304712121,0.049477273,-0.155184344,0.011012626,0.187762626,-1.024178931,27.8
01/05/2005,0.029498763,0.158652778,0.074595085,-0.232994658,0.055159188,-0.074595085,0.048871795,0.179601496,-1.069656725,31.75
01/06/2005,0.028862955,0.074076923,0.071247863,-0.144811966,-0.007470085,-0.071247863,0.049089744,0.140102564,-1.180599314,35.86666667
01/07/2005,0.134823157,0.032206349,0.152861111,-0.183821429,-0.03575,-0.152861111,0.10740873,0.125920635,-0.634442049,33.96666667
01/08/2005,0.01,0.104037393,0.207247863,-0.247095085,-0.034551282,-0.207247863,0.015590705,0.160388889,-1.071723267,33.21666667
01/09/2005,0.283711527,-0.00895,0.269922222,0.260305556,-0.075177778,-0.269922222,0.191561111,0.137655556,-0.327738499,30.2
01/10/2005,0.01,0.105941667,0.168858333,-0.296145833,-0.019729167,-0.237333333,0.012056042,0.162520833,-0.066251354,26.66666667
01/11/2005,0.008294909,0.1031875,0.011820833,-0.253875,0.030458333,-0.151541667,0.07243125,0.136125,-0.587625015,20.88333333
01/12/2005,0.01,0.127975,0.094461111,-0.254913889,0.048294444,-0.127794444,0.066347223,0.148002778,-0.52158959,14.46666667
01/01/2006,0.043189995,0.130907407,0.156444444,-0.286342593,0.041472222,-0.156444444,0.010575926,0.176675926,-0.692480423,13.16666667
01/02/2006,0.01,0.100717407,0.110681481,-0.150674074,-0.052762963,-0.144014815,0.010901481,0.111174074,-1.481517669,20.08333333
01/03/2006,0.181842942,0.073646465,0.25239899,-0.32520202,-0.022530303,-0.25239899,0.170828283,0.178742424,0.152515094,22
01/04/2006,0.035655332,0.175279762,0.107678571,-0.282625,0.074511905,-0.107678571,0.078630952,0.183958333,-0.210004913,29.88333333
01/05/2006,0.013421626,0.171083333,0.078666667,-0.2495,0.075833333,-0.078666667,0.060708333,0.174270833,-0.32803309,36
01/06/2006,0.172843254,0.143425926,0.095185185,-0.237981482,0.056453704,-0.095185185,0.10717037,0.163083333,0.230823105,34.21666667
01/07/2006,0.069553051,0.078425926,0.091011111,-0.169322222,-0.007562963,-0.091011111,0.0631,0.149044445,-0.382942643,34.73333333
01/08/2006,0.272707052,-0.04534127,0.273293651,0.227357143,-0.101134921,-0.273293651,0.205150794,0.125595238,0.061185005,32.36666667
01/09/2006,0.014851217,0.003904762,0.025335357,-0.256563095,-0.070990476,-0.253353571,0.018392183,0.150935714,-0.420090792,30.6
